                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     78,                 1.4553,                0.96419,                 1.3981,                0.90762,                0.83605,                0.90682,                0.60426,                 1.4846,                0.90409,                 1.5346,               0.002377,               0.002377,               0.002377
                     79,                 1.4417,                0.96278,                 1.3662,                  0.894,                0.84777,                0.90953,                0.59397,                 1.6233,                0.92715,                 1.6158,               0.002278,               0.002278,               0.002278
                     80,                 1.4352,                0.97235,                 1.3925,                0.85852,                0.83973,                0.89818,                0.59312,                 1.8015,                 0.9353,                 1.7909,               0.002179,               0.002179,               0.002179
                     81,                 1.4328,                0.95196,                   1.37,                0.87775,                0.81858,                0.89286,                0.59265,                 1.7817,                0.99948,                 1.7544,                0.00208,                0.00208,                0.00208
                     82,                 1.4378,                0.95594,                 1.3761,                0.90458,                0.82477,                0.89274,                0.60698,                 1.8119,                  0.925,                 1.8035,               0.001981,               0.001981,               0.001981
                     83,                 1.4501,                0.93348,                 1.3852,                0.89581,                0.85143,                0.90691,                0.61727,                 1.6983,                0.95045,                 1.6887,               0.001882,               0.001882,               0.001882
                     84,                 1.4234,                0.93175,                 1.3506,                0.87572,                 0.8302,                0.88926,                0.60068,                 1.5279,                0.88356,                 1.5944,               0.001783,               0.001783,               0.001783
                     85,                 1.4256,                0.94394,                 1.3534,                0.87551,                0.82377,                0.89581,                0.60622,                 1.7488,                0.93035,                 1.7371,               0.001684,               0.001684,               0.001684
                     86,                 1.4172,                0.94459,                 1.3644,                0.86197,                0.87321,                0.90104,                0.60739,                 1.7701,                0.92625,                 1.7301,               0.001585,               0.001585,               0.001585
                     87,                 1.3869,                0.90183,                  1.335,                0.86509,                 0.8634,                0.90315,                0.62532,                 1.7696,                0.90275,                 1.7907,               0.001486,               0.001486,               0.001486
                     88,                  1.413,                0.92806,                 1.3676,                0.86469,                0.86746,                0.90457,                0.62344,                 1.7578,                0.92538,                 1.7544,               0.001387,               0.001387,               0.001387
                     89,                 1.4317,                0.92787,                 1.3446,                0.89233,                0.85378,                0.91144,                0.62146,                 1.7222,                0.93418,                 1.7045,               0.001288,               0.001288,               0.001288
                     90,                 1.4115,                0.92683,                 1.3582,                0.88873,                0.85859,                0.91529,                0.61859,                 1.6343,                  0.877,                 1.6055,               0.001189,               0.001189,               0.001189
                     91,                 1.4088,                0.91349,                 1.3625,                0.90601,                0.83124,                 0.9105,                0.62224,                 1.6001,                0.85745,                 1.6043,                0.00109,                0.00109,                0.00109
                     92,                 1.3871,                0.90678,                 1.3501,                0.90632,                0.83405,                0.89819,                0.61852,                 1.6098,                0.87882,                 1.6175,               0.000991,               0.000991,               0.000991
                     93,                 1.4012,                0.91282,                 1.3326,                    0.9,                0.83831,                0.90169,                0.60766,                 1.7728,                 1.0012,                 1.7496,               0.000892,               0.000892,               0.000892
                     94,                 1.4117,                0.91948,                 1.3679,                0.87383,                0.85908,                0.90843,                 0.6294,                 1.8076,                0.90075,                 1.8042,               0.000793,               0.000793,               0.000793
                     95,                 1.4012,                0.90613,                 1.3346,                0.90661,                  0.841,                0.91259,                0.61994,                 1.7611,                0.92161,                 1.7516,               0.000694,               0.000694,               0.000694
                     96,                 1.3896,                0.90883,                 1.3292,                0.91644,                0.83613,                0.91552,                0.62764,                 1.6466,                0.86554,                  1.649,               0.000595,               0.000595,               0.000595
                     97,                 1.3659,                0.89411,                 1.3359,                0.89823,                0.85086,                0.91195,                0.62162,                 1.7045,                0.95641,                 1.6839,               0.000496,               0.000496,               0.000496
                     98,                 1.3849,                0.89219,                 1.3426,                0.92013,                0.81996,                0.90816,                0.63082,                 1.7457,                0.91121,                 1.7445,               0.000397,               0.000397,               0.000397
                     99,                 1.3618,                0.88422,                 1.3391,                0.89736,                0.84972,                0.91071,                0.62721,                 1.6376,                0.88703,                 1.6277,               0.000298,               0.000298,               0.000298
                    100,                  1.394,                0.90087,                 1.3297,                0.89788,                0.83845,                 0.9011,                0.62364,                 1.6821,                0.88852,                 1.6708,               0.000199,               0.000199,               0.000199
